id,availability,created_at,cabin_name,max_capacity,price_per_night,discount,image,description
28,false,2024-10-24 12:04:11.188138+00,11,2,345,50,https://fufbrpsslhjjiqpzqcsj.supabase.co/storage/v1/object/public/cabins/0.1450571562193841-007_wood.jpg,"Cozy Forest Retreat for Two: Escape to our secluded cabin nestled deep within the tranquil forest, perfect for couples seeking a romantic getaway or a peaceful retreat."
29,true,2024-10-24 12:05:13.173785+00,1,4,562,0,https://fufbrpsslhjjiqpzqcsj.supabase.co/storage/v1/object/public/cabins/0.2908980780538257-005_wood.jpg,"Seaside Cabin Escape for Four: Discover the perfect coastal getaway at our charming cabin located just steps from the crystal-clear waters of the Mediterranean Sea."
30,true,2024-10-24 12:07:04.426434+00,2,2,470,45,https://fufbrpsslhjjiqpzqcsj.supabase.co/storage/v1/object/public/cabins/0.9342416863438319-008_wood.jpg,"Beachfront Family Cabin for Four: Relax with your family or friends in this spacious beachfront cabin, just steps away from a pristine sandy beach."
34,true,2024-10-24 12:09:49.679673+00,7,5,1800,50,https://fufbrpsslhjjiqpzqcsj.supabase.co/storage/v1/object/public/cabins/0.24317131013959226-014_wood.jpg,"Family-Friendly Cabin by the Sea for Five: This spacious cabin, located just steps from the beach, offers a perfect seaside escape for families or groups of up to five."
35,false,2024-10-24 12:10:41.146779+00,8,2,500,35,https://fufbrpsslhjjiqpzqcsj.supabase.co/storage/v1/object/public/cabins/0.2662577053186057-009_wood.jpg,"Charming Beach Bungalow for Two: Escape to this charming beachfront cabin, designed for two, where the ocean is just steps away."
36,false,2024-10-24 12:11:31.164029+00,12,2,790,100,https://fufbrpsslhjjiqpzqcsj.supabase.co/storage/v1/object/public/cabins/0.9648256956568464-004_stone.jpeg,"Historic Stone Cabin for Two in the Old City: Step back in time with a stay in this charming stone cabin, nestled in the heart of the old city."
37,true,2024-10-24 12:12:16.351255+00,9,4,1300,0,https://fufbrpsslhjjiqpzqcsj.supabase.co/storage/v1/object/public/cabins/0.4896311534385578-location_stone.jpg,"Historic Stone Cabin for Two in the Old City: Step back in time with a stay in this charming stone cabin, nestled in the heart of the old city."
38,false,2024-10-25 09:22:24.918378+00,5,5,2543,169,https://fufbrpsslhjjiqpzqcsj.supabase.co/storage/v1/object/public/cabins/0.985209374007689-location_wood2.jpg,"sdfsdfxvcx fx gsrd cxv sdfwsdc 2"
46,false,2024-10-24 12:09:00.46511+00,17,2,780,60,https://fufbrpsslhjjiqpzqcsj.supabase.co/storage/v1/object/public/cabins/0.9930734055965718-007_wood.jpg,"Intimate Beach Cabin for Two: Get away from it all with a stay in this charming cabin for two, located right by a secluded beach."
48,true,2024-10-24 12:09:49.679673+00,10,5,1800,50,https://fufbrpsslhjjiqpzqcsj.supabase.co/storage/v1/object/public/cabins/0.5310962385934059-014_wood.jpg,"Family-Friendly Cabin by the Sea for Five: This spacious cabin, located just steps from the beach, offers a perfect seaside escape for families or groups of up to five."
49,false,2024-10-25 09:22:24.918378+00,15,5,2543,169,https://fufbrpsslhjjiqpzqcsj.supabase.co/storage/v1/object/public/cabins/0.985209374007689-location_wood2.jpg,"sdfsdfxvcx fx gsrd cxv sdfwsdc 2"
52,true,2024-10-24 12:12:16.351255+00,19,4,1300,0,https://fufbrpsslhjjiqpzqcsj.supabase.co/storage/v1/object/public/cabins/0.4896311534385578-location_stone.jpg,"Historic Stone Cabin for Two in the Old City: Step back in time with a stay in this charming stone cabin, nestled in the heart of the old city."
54,true,2025-02-25 22:02:59.673096+00,20,4,1546,100,https://fufbrpsslhjjiqpzqcsj.supabase.co/storage/v1/object/public/cabins/0.5930329848446783-50mhev3lk1f81.webp,"go po fsac fsadfwe,gfds."
56,false,2024-10-24 12:10:41.146779+00,18,2,500,35,https://fufbrpsslhjjiqpzqcsj.supabase.co/storage/v1/object/public/cabins/0.2662577053186057-009_wood.jpg,"Charming Beach Bungalow for Two: Escape to this charming beachfront cabin, designed for two, where the ocean is just steps away."
62,false,2024-10-24 12:09:00.46511+00,13,2,780,60,https://fufbrpsslhjjiqpzqcsj.supabase.co/storage/v1/object/public/cabins/0.19732693110719657-008_wood.jpg,"Intimate Beach Cabin for Two: Get away from it all with a stay in this charming cabin for two, located right by a secluded beach."
66,false,2024-10-24 12:09:00.46511+00,3,2,780,60,https://fufbrpsslhjjiqpzqcsj.supabase.co/storage/v1/object/public/cabins/0.1973748495135963-008_wood.jpg,"Intimate Beach Cabin for Two: Get away from it all with a stay in this charming cabin for two, located right by a secluded beach."
67,false,2024-10-24 12:09:00.46511+00,6,2,780,60,https://fufbrpsslhjjiqpzqcsj.supabase.co/storage/v1/object/public/cabins/0.8304285868350039-007_wood.jpg,"Intimate Beach Cabin for Two: Get away from it all with a stay in this charming cabin for two, located right by a secluded beach."
88,false,2024-10-26 08:21:34.121413+00,14,5,423,12,https://fufbrpsslhjjiqpzqcsj.supabase.co/storage/v1/object/public/cabins/0.9704524639835743-location_wood.jpg,"ASZXCAD"
93,false,2024-10-24 12:09:00.46511+00,16,2,780,60,https://fufbrpsslhjjiqpzqcsj.supabase.co/storage/v1/object/public/cabins/0.1973748495135963-008_wood.jpg,"Intimate Beach Cabin for Two: Get away from it all with a stay in this charming cabin for two, located right by a secluded beach."
