id,created_at,startDate,endDate,numGuests,extraPrice,status,isPaid,observation,cabinId,totalPrice,numNights
3,2025-02-24 20:02:21+00,2025-04-07 21:58:50.896,2025-04-29 21:58:50.896,4,67,checked_out,false,fffg,38,61344,22
9,2025-02-22 22:58:50.896+00,2025-04-23 21:58:50.896,2025-04-28 21:58:50.896,3,2,checked_out,true,asd asdzxc423 xcvs ytu po.,37,7127,5
14,2025-02-22 22:58:50.896+00,2025-07-10 21:58:50.896,2025-07-14 21:58:50.896,3,21,unconfirmed,true,yaaaaaala,29,2269,4
15,2025-02-22 22:58:50.896+00,2025-08-01 21:58:50.896,2025-08-08 21:58:50.896,5,123,confirmed,false,azxca,29,4932,7
31,2025-02-22 22:58:50.896+00,2025-02-22 22:58:50.896,2025-02-23 22:58:50.896,2,5000,checked_out,false,First time booking,28,5420,1
32,2025-02-22 22:58:50.896+00,2025-03-23 22:58:50.896,2025-03-25 22:58:50.896,3,50,checked_out,true,Looking for a quiet spot for family,29,1924,2
33,2025-02-22 22:58:50.896+00,2025-03-10 22:58:50.896,2025-03-15 22:58:50.896,2,40,checked_out,true,Anniversary getaway,30,4220,5
34,2025-02-22 22:58:50.896+00,2025-04-29 21:58:50.896,2025-05-04 21:58:50.896,3,60,checked_out,false,Special event celebration,34,9635,5
35,2025-02-22 22:58:50.896+00,2025-05-20 21:58:50.896,2025-05-24 21:58:50.896,4,70,confirmed,true,Looking for seaside relaxation,35,3535,4
36,2025-02-22 22:58:50.896+00,2025-03-27 22:58:50.896,2025-03-31 21:58:50.896,1,100,checked_out,true,Family holiday,36,3660,4
37,2025-02-22 22:58:50.896+00,2025-04-05 21:58:50.896,2025-04-09 21:58:50.896,2,40,checked_out,false,Quiet winter retreat,46,4100,4
38,2025-02-22 22:58:50.896+00,2025-03-25 22:58:50.896,2025-03-30 21:58:50.896,2,50,checked_out,true,Seaside getaway for two,48,9000,5
48,2025-02-22 22:58:50.896+00,2025-04-07 21:58:50.896,2025-04-10 21:58:50.896,2,,unconfirmed,false,,35,1840,3
49,2025-02-22 22:58:50.896+00,2025-03-30 21:58:50.896,2025-04-02 21:58:50.896,2,,unconfirmed,false,,30,1740,3
50,2025-02-22 22:58:50.896+00,2025-03-30 21:58:50.896,2025-04-09 21:58:50.896,3,,confirmed,false,sdfsdfsdxcv,38,27761,10
53,2025-02-22 22:58:50.896+00,2025-02-25 22:58:50.896,2025-03-06 22:58:50.896,3,,unconfirmed,true,work vocation,29,7308,9
54,2025-02-22 22:58:50.896+00,2025-02-17 22:58:50.896,2025-02-20 22:58:50.896,3,,checked_out,false,sdfsdxf,37,4275,3
55,2025-02-24 19:12:42.47596+00,2025-02-25 19:12:13.101,2025-02-28 19:12:13.101,2,,checked_out,false,casd,37,4275,3
56,2025-02-24 19:55:35.96741+00,2025-02-03 19:54:51.282,2025-02-07 19:54:51.282,1,,checked_out,true,aczc,38,10503,4
57,2025-02-22 22:58:50.896+00,2025-03-11 22:58:50.896,2025-03-13 22:58:50.896,5,70,checked_out,false,Family trip to the beach,48,4120,2
58,2025-02-22 22:58:50.896+00,2025-04-25 21:58:50.896,2025-04-28 21:58:50.896,4,55,confirmed,true,Looking for an escape by the sea,37,4330,3
60,2025-02-22 22:58:50.896+00,2025-03-26 22:58:50.896,2025-03-28 21:58:50.896,2,40,checked_out,false,Short seaside retreat,28,930,2
61,2025-02-22 22:58:50.896+00,2025-04-02 21:58:50.896,2025-04-05 21:58:50.896,4,60,checked_out,true,New Year's family trip,49,7520,3
62,2025-02-22 22:58:50.896+00,2025-04-27 21:58:50.896,2025-05-01 21:58:50.896,3,70,confirmed,false,Festival weekend retreat,34,8220,4
63,2025-02-25 22:11:16.924856+00,2025-02-26 00:10:36,2025-03-01 00:10:37,4,86,unconfirmed,false,yts,54,6170,4
64,2025-02-25 22:14:04.951503+00,2025-02-11 22:13:28.738,2025-02-14 22:13:28.738,3,,unconfirmed,true,gol,37,4275,3
